"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Sire of Seven Deaths","","M","87","","80","","576","97.6%","61.1%","103","","140","","243","","328","",""
"Arahbo, the First Fang","W","R","342","","205","","1348","93.0%","62.9%","213","","337","","550","66.5%","792","60.1%","6.4pp"
"Armasaur Guide","W","C","6983","7.37","705","11.27","701","14.1%","60.3%","113","","146","","259","","444","",""
"Cat Collector","W","U","1111","2.61","499","","3122","89.4%","61.6%","490","","744","64.9%","1234","64.0%","1882","60.0%","4.0pp"
"Celestial Armor","W","R","304","","213","","1389","90.6%","61.9%","225","","363","","588","68.2%","801","57.4%","10.8pp"
"Claws Out","W","U","2417","5.76","354","","1211","48.5%","61.9%","207","","266","","473","","738","61.8%",""
"Crystal Barricade","W","R","986","4.73","116","","191","21.9%","","22","","49","","71","","119","",""
"Dauntless Veteran","W","U","2076","4.70","240","","1051","61.2%","59.8%","167","","253","","420","","627","63.3%",""
"Dazzling Angel","W","C","3593","3.21","1112","3.79","7164","91.0%","60.8%","1282","62.9%","1746","61.5%","3028","62.1%","4123","59.7%","2.5pp"
"Divine Resilience","W","U","2343","5.86","225","","409","25.6%","","51","","99","","150","","256","",""
"Exemplar of Light","W","R","319","","198","","1180","86.0%","58.6%","218","","298","","516","62.8%","669","55.5%","7.3pp"
"Felidar Savior","W","C","4415","3.71","1078","4.71","6824","90.5%","62.7%","1169","63.7%","1608","63.7%","2777","63.7%","4004","61.9%","1.8pp"
"Fleeting Flight","W","C","6242","5.64","903","8.09","3886","61.0%","59.9%","613","59.2%","940","61.1%","1553","60.3%","2278","59.3%","1.0pp"
"Guarded Heir","W","U","1853","4.04","438","","2510","79.6%","60.1%","374","","649","63.0%","1023","62.4%","1470","58.3%","4.1pp"
"Hare Apparent","W","C","6691","6.57","835","9.65","1831","31.4%","58.3%","335","","398","","733","58.8%","1086","58.1%","0.7pp"
"Helpful Hunter","W","C","4011","3.39","1199","4.19","7695","90.6%","62.1%","1327","63.1%","1890","63.7%","3217","63.4%","4445","61.2%","2.2pp"
"Herald of Eternal Dawn","W","M","178","","74","","387","74.6%","","62","","111","","173","","214","",""
"Inspiring Paladin","W","C","6092","5.42","797","8.15","3462","60.9%","60.0%","577","61.5%","761","58.2%","1338","59.6%","2129","60.3%","-0.6pp"
