,pick,SeenTotal,SeenCount,ALSA
0,Abrade,31356,10138,3.0929177352535016
1,Abyssal Harvester,5540,2563,2.1615294576667967
2,Adventuring Gear,106161,13255,8.009128630705394
3,Aegis Turtle,355487,42338,8.396405120695356
4,Aetherize,69375,11644,5.958004122294744
5,Affectionate Indrik,52550,11870,4.427127211457456
6,Ajani's Pridemate,27194,8728,3.1157195233730524
7,"Ajani, Caller of the Pride",1292,798,1.619047619047619
8,Akroma's Memorial,527,212,2.4858490566037736
9,"Alesha, Who Laughs at Fate",7777,3087,2.5192743764172336
10,Ambush Wolf,230820,35447,6.5116935142607275
11,An Offer You Can't Refuse,117036,14555,8.040948127791138
12,Angel of Finality,41543,10632,3.907355154251317
13,Anthem of Champions,13295,3468,3.8336216839677046
14,Apothecary Stomper,249265,33675,7.402078693392725
15,"Arahbo, the First Fang",4423,2313,1.9122351923908345
16,Arbiter of Woe,41550,12188,3.409090909090909
17,Arcane Epiphany,61412,14330,4.285554780181438
18,Archmage of Runes,7449,3007,2.4772198204190223
19,Armasaur Guide,270444,34895,7.750222094855997
20,Ashroot Animist,11662,3579,3.2584520815870355
21,Authority of the Consuls,12319,2574,4.785936285936286
22,Axgard Cavalry,287963,39816,7.232343781394414
23,Bake into a Pie,81264,27231,2.9842458962212186
24,"Balmor, Battlemage Captain",75459,14115,5.346014877789585
25,Banishing Light,64163,22349,2.8709561949080498
26,Banner of Kinship,25060,4990,5.022044088176353
27,Battlesong Berserker,58038,13721,4.229866627796808
28,Beast-Kin Ranger,194028,34281,5.659928240133018
29,Bigfin Bouncer,167722,39371,4.260039115084707
30,Billowing Shriekmass,69340,13325,5.20375234521576
31,Bite Down,113439,26778,4.23627604750168
32,Blanchwood Armor,87484,11371,7.693606542960162
33,Blasphemous Edict,6937,3110,2.230546623794212
34,Bloodfell Caves,165941,25963,6.391441666987636
35,Bloodthirsty Conqueror,960,731,1.3132694938440492
36,Bloom Tender,696,221,3.1493212669683257
37,Blossoming Sands,140896,20674,6.815130115120441
38,Boltwave,101370,12502,8.108302671572549
39,Brass's Bounty,60662,8630,7.0292004634994205
40,Brazen Scourge,78179,13520,5.782470414201184
41,Brineborn Cutthroat,57677,13207,4.367153782085258
42,Broken Wings,253843,34152,7.432741859920356
43,Bulk Up,103352,13268,7.78956888754899
44,Burglar Rat,169318,40543,4.176257307056705
45,Burnished Hart,65157,10802,6.03193852990187
46,Burst Lightning,83791,26858,3.119778092188547
47,Bushwhack,144118,28721,5.017861495073292
48,Cackling Prowler,216141,32804,6.588861114498232
49,Campus Guide,267243,41294,6.471715019131109
50,Cat Collector,22067,8371,2.6361247162824037
51,Cathar Commando,177061,35636,4.96859916937928
52,Celestial Armor,3742,2194,1.7055606198723792
53,Cephalid Inkmage,86578,14816,5.843547516198704
54,"Chandra, Flameshaper",1593,975,1.633846153846154
55,Claws Out,85514,14373,5.949627774299033
56,Clinquant Skymage,62189,10589,5.872981395788082
57,Condemn,1150,360,3.1944444444444446
58,Consuming Aberration,15556,4082,3.8108770210681038
59,Courageous Goblin,277984,41445,6.7072988297744
60,Crackling Cyclops,356944,40182,8.883181524065503
61,Crypt Feaster,318147,38333,8.299559126601102
62,Crystal Barricade,22228,4203,5.288603378539139
63,Curator of Destinies,4748,2482,1.9129734085414989
64,Dauntless Veteran,48981,9746,5.025754155550995
65,Day of Judgment,4840,2261,2.1406457319770014
66,Dazzling Angel,75807,24025,3.155338189386056
67,Diregraf Ghoul,94101,15587,6.037146339898634
68,Dismal Backwater,161769,27415,5.90074776582163
69,Divine Resilience,71819,11118,6.459704982910595
70,Doubling Season,6666,1404,4.747863247863248
71,Dragon Trainer,51414,12584,4.085664335664336
72,Drake Hatcher,7765,3182,2.440289126335638
73,"Drakuseth, Maw of Flames",9234,2785,3.3156193895870736
74,Dreadwing Scavenger,47595,13203,3.6048625312428992
75,Dwynen's Elite,189260,31180,6.069916613213598
76,"Dwynen, Gilt-Leaf Daen",47366,9165,5.168139661756683
77,Eager Trufflesnout,51122,11567,4.4196420852425
78,Eaten Alive,117920,32716,3.604352610343563
79,Electroduplicate,34138,5504,6.202398255813954
80,Elementalist Adept,293744,43801,6.706330905687085
81,"Elenda, Saint of Dusk",5634,2610,2.1586206896551725
82,Elfsworn Giant,197739,29557,6.690090333931049
83,Elvish Archdruid,10347,2917,3.5471374700034284
84,Elvish Regrower,28408,8814,3.2230542319037894
85,Embercleave,322,174,1.8505747126436782
86,Empyrean Eagle,48035,11814,4.065938716776706
87,Erudite Wizard,285403,39691,7.190622559270364
88,Essence Scatter,42541,12365,3.440436716538617
89,"Etali, Primal Storm",5603,2307,2.4286952752492414
90,Evolving Wilds,192214,43227,4.446619011266107
91,Exemplar of Light,2976,1778,1.6737907761529809
92,Exsanguinate,99073,12701,7.800409416581371
93,Extravagant Replication,14959,3892,3.843525179856115
94,Faebloom Trick,31815,10841,2.93469237155244
95,Fake Your Own Death,269667,44228,6.0972008682282715
96,Fanatical Firebrand,277077,38659,7.167205566620968
97,Felidar Savior,110267,29755,3.7058309527810454
98,Felling Blow,30154,9290,3.245855758880517
99,Fiend Artisan,347,165,2.103030303030303
100,Fiendish Panda,46138,11286,4.088073719652667
101,Fiery Annihilation,27386,9342,2.931492185827446
102,Firebrand Archer,278372,36543,7.617655912213009
103,Firespitter Whelp,65865,11347,5.804617960694457
104,Fishing Pole,137484,16679,8.242940224234067
105,Flamewake Phoenix,10831,3271,3.311219810455518
106,Fleeting Distraction,263135,47101,5.586611749219762
107,Fleeting Flight,217145,37814,5.7424498862855025
108,Forest,443960,42511,10.443414645621134
109,Frenzied Goblin,90954,13114,6.935641299374714
