,draft_id,treatment,control,pack_number,pick_number,color_identity,W_mean,U_mean,B_mean,R_mean,G_mean,event_match_wins,event_match_losses,W_id,U_id,B_id,R_id,G_id
4,5fd0b5fdc94d41a598b4f81a7131ff73,False,True,0,4,"['B', 'R']",4.110143809010854,5.921175878863748,6.371872432105386,7.338738599230849,,2,3,0,0,1,1,0
7,5fd0b5fdc94d41a598b4f81a7131ff73,False,True,0,7,"['W', 'B']",,5.1362890404636135,4.176257307056705,6.7908303143297015,7.402078693392725,2,3,1,0,1,0,0
9,5fd0b5fdc94d41a598b4f81a7131ff73,False,True,0,9,"['W', 'B']",,4.9360832647006,6.271439424408992,6.986564538730338,,2,3,1,0,1,0,0
10,5fd0b5fdc94d41a598b4f81a7131ff73,False,True,0,10,"['W', 'B']",5.732261190226856,4.260039115084707,,,,2,3,1,0,1,0,0
33,5fd0b5fdc94d41a598b4f81a7131ff73,False,True,2,5,"['W', 'B']",2.8709561949080498,5.540588325373665,4.591257608094222,3.6027212139264417,5.630943630915362,2,3,1,0,1,0,0
40,5fd0b5fdc94d41a598b4f81a7131ff73,False,True,2,12,"['W', 'B']",6.819422721455993,3.9549519926344874,,,,2,3,1,0,1,0,0
41,5fd0b5fdc94d41a598b4f81a7131ff73,True,False,2,13,"['W', 'B']",,3.440436716538617,,,,2,3,1,0,1,0,0
48,6c13554a53ff4ec99eb95184a4fa246c,False,True,0,6,"['B', 'G']",4.555513319102897,7.793513839982859,3.299463389302406,8.268224364510631,5.659217896962383,0,0,0,0,1,0,1
62,6c13554a53ff4ec99eb95184a4fa246c,True,False,1,6,"['B', 'R']",,6.467436189455892,,7.6450289004241645,7.0254252678733575,0,0,0,0,1,1,0
64,6c13554a53ff4ec99eb95184a4fa246c,True,False,1,8,"['B', 'R']",5.560605738958433,,,8.268224364510631,,0,0,0,0,1,1,0
65,6c13554a53ff4ec99eb95184a4fa246c,False,True,1,9,"['B', 'R']",,5.742805503669578,,3.119778092188547,7.693606542960162,0,0,0,0,1,1,0
68,6c13554a53ff4ec99eb95184a4fa246c,True,False,1,12,"['B', 'G']",5.503456677326024,,,,,0,0,0,0,1,0,1
104,5946b3adedbb4a7d8dd8cb96bfde7632,False,True,1,6,"['U', 'R']",2.8709561949080498,5.921309973075349,4.795824777549623,3.6027212139264417,5.373984780881204,4,3,0,1,0,1,0
105,5946b3adedbb4a7d8dd8cb96bfde7632,False,True,1,7,"['U', 'R']",,6.766347080579484,6.793850996386851,8.268224364510631,5.630943630915362,4,3,0,1,0,1,0
107,5946b3adedbb4a7d8dd8cb96bfde7632,False,True,1,9,"['U', 'R']",,6.921011058451817,3.167477575877933,6.877293449212872,4.474529485570891,4,3,0,1,0,1,0
108,5946b3adedbb4a7d8dd8cb96bfde7632,False,True,1,10,"['U', 'R']",4.555513319102897,,6.169298863293431,8.268224364510631,,4,3,0,1,0,1,0
116,5946b3adedbb4a7d8dd8cb96bfde7632,False,True,2,4,"['U', 'R']",3.2926282402528826,4.104837549475875,8.299559126601102,7.295671735344101,,4,3,0,1,0,1,0
117,5946b3adedbb4a7d8dd8cb96bfde7632,False,True,2,5,"['U', 'R']",5.102711238984962,5.083761054733498,3.0758617360495757,8.268224364510631,,4,3,0,1,0,1,0
118,5946b3adedbb4a7d8dd8cb96bfde7632,False,True,2,6,"['U', 'R']",3.3852853297004213,6.517059301380991,4.795824777549623,7.302798031153179,7.693606542960162,4,3,0,1,0,1,0
119,5946b3adedbb4a7d8dd8cb96bfde7632,False,True,2,7,"['U', 'R']",6.819422721455993,2.620159208261618,5.733518351239518,6.7072988297744,7.402078693392725,4,3,0,1,0,1,0
120,5946b3adedbb4a7d8dd8cb96bfde7632,False,True,2,8,"['U', 'R']",,6.078027205272119,6.636891050251685,7.095835628247803,4.23627604750168,4,3,0,1,0,1,0
122,5946b3adedbb4a7d8dd8cb96bfde7632,False,True,2,10,"['U', 'R']",4.555513319102897,5.1362890404636135,,,6.511693514260728,4,3,0,1,0,1,0
