,pack,pick,treatment_wins,control_wins,treatment_ci,control_ci,treatment_n,control_n,p_value,total_pick,sig
0,0.0,4.0,3.706896551724138,3.4482758620689653,0.3471013401842843,0.330717779759968,174.0,174.0,0.2911173524331361,4.0,False
1,0.0,5.0,3.4725274725274726,3.3076923076923075,0.4768066028162277,0.5424766542876055,91.0,91.0,0.6551757333767361,5.0,False
2,0.0,6.0,3.3257575757575757,3.3068181818181817,0.257884791197291,0.24716662367522804,264.0,264.0,0.9172715647026711,6.0,False
3,0.0,7.0,3.2009456264775413,2.8912529550827424,0.21459934529437885,0.2117259307534535,423.0,423.0,0.04437932955605056,7.0,True
4,0.0,8.0,3.4747191011235956,3.438202247191011,0.23069158373374926,0.2109279333259195,356.0,356.0,0.8189568949492843,8.0,False
5,0.0,9.0,3.3936507936507936,3.2888888888888888,0.25629009670048764,0.25640553316280507,315.0,315.0,0.5713317015148955,9.0,False
6,0.0,10.0,3.3891213389121337,4.317991631799163,0.29342131921611053,0.29284774533496827,239.0,239.0,1.3873620381857257e-05,10.0,True
7,0.0,11.0,3.7136150234741785,3.3333333333333335,0.29852566947778864,0.24075657561831545,213.0,213.0,0.052618076757522364,11.0,False
8,0.0,12.0,3.5,3.6012658227848102,0.36228266608538207,0.37455273848691584,158.0,158.0,0.7035400311263182,12.0,False
9,1.0,3.0,3.8095238095238093,2.857142857142857,0.3924441927770679,0.42353181698663434,126.0,126.0,0.0013903483444351972,16.0,True
10,1.0,4.0,3.7,4.45,1.0361593049638445,1.1148810651695922,20.0,20.0,0.34024440665902167,17.0,False
11,1.0,5.0,3.36,3.8933333333333335,0.5412818366310352,0.47440497290639594,75.0,75.0,0.1485217031054776,18.0,False
12,1.0,6.0,3.4743589743589745,2.7948717948717947,0.3308302455250427,0.31673244780107995,156.0,156.0,0.0039022526188780705,19.0,True
13,1.0,7.0,3.338345864661654,3.8646616541353382,0.2624148078625979,0.26873312466238036,266.0,266.0,0.006229300383000851,20.0,True
14,1.0,8.0,3.2427184466019416,3.9223300970873787,0.3160238198598992,0.32912218198602705,206.0,206.0,0.003701164539320567,21.0,True
15,1.0,9.0,3.731707317073171,2.926829268292683,0.2982335117609972,0.25572565375688333,205.0,205.0,7.05847862870893e-05,22.0,True
16,1.0,10.0,3.1658767772511847,3.6682464454976302,0.28686843230066505,0.3012536616101599,211.0,211.0,0.018385859540186494,23.0,True
17,1.0,11.0,3.357142857142857,4.146825396825397,0.26927443375274984,0.2637723537565419,252.0,252.0,4.6959362775087445e-05,24.0,True
18,1.0,12.0,3.2955665024630543,2.9310344827586206,0.30118248410977255,0.2902154590228499,203.0,203.0,0.08835747335355651,25.0,False
19,2.0,3.0,3.3801169590643276,2.473684210526316,0.3460730049610525,0.34766154148303124,171.0,171.0,0.0003372710742048547,29.0,True
20,2.0,4.0,3.4705882352941178,2.0588235294117645,1.0907335394032949,0.7604169317122035,17.0,17.0,0.0455139934129811,30.0,True
21,2.0,5.0,3.523076923076923,2.5692307692307694,0.5335026272235572,0.5280421916978016,65.0,65.0,0.014033036151790116,31.0,True
22,2.0,6.0,3.3949579831932772,3.2941176470588234,0.39016614029315666,0.3810382182228022,119.0,119.0,0.7173667032781419,32.0,False
23,2.0,7.0,3.51,3.175,0.30912045626650475,0.29323980445119124,200.0,200.0,0.12410623210562961,33.0,False
24,2.0,8.0,3.4043715846994536,3.4371584699453552,0.34469070536703733,0.3475152279484411,183.0,183.0,0.8956182806162555,34.0,False
25,2.0,9.0,3.425531914893617,3.025531914893617,0.2865600881432163,0.27364062336250145,235.0,235.0,0.04843974043382083,35.0,True
26,2.0,10.0,3.264705882352941,3.6638655462184873,0.2638685302542211,0.2930689270405022,238.0,238.0,0.04784573183935016,36.0,True
27,2.0,11.0,3.3090128755364807,3.2660944206008584,0.27052053956380445,0.33988178621874043,233.0,233.0,0.8465362377765585,37.0,False
28,2.0,12.0,3.371308016877637,3.5147679324894514,0.29033919511886214,0.28216605542531065,237.0,237.0,0.4877047272446312,38.0,False
