,draft_id,treatment,control,pack_number,pick_number,color_identity,W_mean,U_mean,B_mean,R_mean,G_mean,event_match_wins,event_match_losses,W_id,U_id,B_id,R_id,G_id
7,ca9c82901d6844109a9fae4726b5d99f,False,True,0,7,"['W', 'G']",,5.939529594932941,8.299559126601102,7.166909214723,7.402078693392725,1,3,1,0,0,0,1
20,ca9c82901d6844109a9fae4726b5d99f,False,True,1,6,"['G', 'W']",,6.036870600757185,6.097200868228272,6.565308789635713,,1,3,1,0,0,0,1
22,ca9c82901d6844109a9fae4726b5d99f,False,True,1,8,"['W', 'G']",6.819422721455993,7.094136050978858,3.604352610343563,7.276648605793861,,1,3,1,0,0,0,1
23,ca9c82901d6844109a9fae4726b5d99f,False,True,1,9,"['W', 'G']",5.617754800590842,4.538467258216428,,6.71616251723299,,1,3,1,0,0,0,1
34,ca9c82901d6844109a9fae4726b5d99f,False,True,2,6,"['G', 'W']",,6.298852252203068,6.472305439801779,7.450302705188137,7.432741859920356,1,3,1,0,0,0,1
35,ca9c82901d6844109a9fae4726b5d99f,False,True,2,7,"['G', 'W']",4.555513319102897,5.1362890404636135,4.791639782468431,6.545604684333008,6.588861114498232,1,3,1,0,0,0,1
36,ca9c82901d6844109a9fae4726b5d99f,False,True,2,8,"['G', 'W']",5.949627774299033,,4.80966968566862,6.7072988297744,7.0254252678733575,1,3,1,0,0,0,1
47,ab17c92eb51048fd8ec2ca1daa9b575d,False,True,0,5,"['W', 'R']",6.066453474767958,6.600290464808527,5.261493937466776,6.877293449212872,4.4196420852425,4,3,1,0,0,1,0
48,ab17c92eb51048fd8ec2ca1daa9b575d,False,True,0,6,"['W', 'R']",,4.285554780181438,6.472305439801779,7.095835628247803,4.848116666431008,4,3,1,0,0,1,0
49,ab17c92eb51048fd8ec2ca1daa9b575d,False,True,0,7,"['W', 'R']",5.61433219937879,4.784923138887025,6.957599326168527,6.414455062038436,,4,3,1,0,0,1,0
54,ab17c92eb51048fd8ec2ca1daa9b575d,True,False,0,12,"['W', 'R']",,5.677087583031783,,,,4,3,1,0,0,1,0
61,ab17c92eb51048fd8ec2ca1daa9b575d,False,True,1,5,"['R', 'W']",4.162850309327321,,4.717808937972689,7.450302705188137,4.898472795624021,4,3,1,0,0,1,0
62,ab17c92eb51048fd8ec2ca1daa9b575d,False,True,1,6,"['W', 'R']",7.750222094855997,6.756281560751626,,6.906647356276695,5.132015628485493,4,3,1,0,0,1,0
63,ab17c92eb51048fd8ec2ca1daa9b575d,False,True,1,7,"['W', 'R']",,4.784923138887025,,6.752288632208347,4.672677815837195,4,3,1,0,0,1,0
64,ab17c92eb51048fd8ec2ca1daa9b575d,False,True,1,8,"['R', 'W']",,,6.472305439801779,6.906647356276695,5.988295856571345,4,3,1,0,0,1,0
75,ab17c92eb51048fd8ec2ca1daa9b575d,False,True,2,5,"['R', 'W']",5.949627774299033,5.1362890404636135,5.852229536385153,5.61318695755112,,4,3,1,0,0,1,0
76,ab17c92eb51048fd8ec2ca1daa9b575d,False,True,2,6,"['R', 'W']",,4.260039115084707,3.167477575877933,8.018023774880291,6.263306295900858,4,3,1,0,0,1,0
91,1a2d1e80daf948e9af5cd063c903bc26,False,True,0,7,"['U', 'W']",,5.761234307168837,3.167477575877933,7.232343781394414,5.630943630915362,3,3,1,1,0,0,0
93,1a2d1e80daf948e9af5cd063c903bc26,False,True,0,9,"['U', 'W']",,6.706330905687085,4.795824777549623,7.0157384638112585,,3,3,1,1,0,0,0
105,1a2d1e80daf948e9af5cd063c903bc26,False,True,1,7,"['U', 'G']",3.705830952781045,6.328222117890031,6.271439424408992,7.450302705188137,4.750281995661605,3,3,0,1,0,0,1
106,1a2d1e80daf948e9af5cd063c903bc26,False,True,1,8,"['U', 'G']",,5.586611749219762,3.055613395800798,5.468582728785604,7.402078693392725,3,3,0,1,0,0,1
117,1a2d1e80daf948e9af5cd063c903bc26,False,True,2,5,"['U', 'G']",,4.8373781493400205,2.8590323703445875,7.734417705460515,5.687492163009404,3,3,0,1,0,0,1
118,1a2d1e80daf948e9af5cd063c903bc26,False,True,2,6,"['U', 'G']",5.55366177206568,6.921011058451817,,7.232343781394414,6.5165111621540435,3,3,0,1,0,0,1
119,1a2d1e80daf948e9af5cd063c903bc26,False,True,2,7,"['G', 'U']",,4.538467258216428,3.580251601638962,8.895006784260515,5.221703847291126,3,3,0,1,0,0,1
131,73cb3a0097f34ac9b517df5c914a78d8,False,True,0,5,"['R', 'G']",5.230885737952196,7.2000562271577175,6.159639846924311,8.025193545343235,,6,1,0,0,0,1,1
132,73cb3a0097f34ac9b517df5c914a78d8,True,False,0,6,"['R', 'G']",,5.816301654597643,6.097200868228272,7.7177149655658,7.791540544846264,6,1,0,0,0,1,1
134,73cb3a0097f34ac9b517df5c914a78d8,False,True,0,8,"['R', 'U']",,,5.109391420037169,7.894914440171099,7.693606542960162,6,1,0,1,0,1,0
135,73cb3a0097f34ac9b517df5c914a78d8,False,True,0,9,"['R', 'U']",6.62683938609101,4.260039115084707,3.167477575877933,6.71616251723299,,6,1,0,1,0,1,0
138,73cb3a0097f34ac9b517df5c914a78d8,False,True,0,12,"['U', 'R']",,,4.791639782468431,7.617655912213009,,6,1,0,1,0,1,0
146,73cb3a0097f34ac9b517df5c914a78d8,False,True,1,6,"['R', 'U']",7.750222094855997,7.094136050978858,,7.916419203167533,,6,1,0,1,0,1,0
148,73cb3a0097f34ac9b517df5c914a78d8,False,True,1,8,"['R', 'U']",5.617754800590842,7.094136050978858,4.176257307056705,6.924169797637233,,6,1,0,1,0,1,0
152,73cb3a0097f34ac9b517df5c914a78d8,False,True,1,12,"['U', 'R']",,,4.113482416256844,,,6,1,0,1,0,1,0
158,73cb3a0097f34ac9b517df5c914a78d8,False,True,2,4,"['U', 'R']",3.752855343373369,5.740692422164877,4.176257307056705,6.935641299374714,5.659928240133018,6,1,0,1,0,1,0
160,73cb3a0097f34ac9b517df5c914a78d8,False,True,2,6,"['U', 'R']",6.266965923351675,7.094136050978858,6.633078218094315,6.7072988297744,6.069916613213598,6,1,0,1,0,1,0
161,73cb3a0097f34ac9b517df5c914a78d8,False,True,2,7,"['U', 'R']",,7.190622559270364,5.416583456020454,8.883181524065503,,6,1,0,1,0,1,0
163,73cb3a0097f34ac9b517df5c914a78d8,False,True,2,9,"['U', 'R']",,6.517059301380991,4.80966968566862,6.7072988297744,,6,1,0,1,0,1,0
